iter	Passed	Remaining
0	111	111640
1	136	68073
2	155	51764
3	173	43186
4	192	38225
5	209	34679
6	228	32367
7	247	30655
8	265	29206
9	284	28200
10	303	27329
11	322	26552
12	341	25907
13	358	25253
14	377	24763
15	396	24370
16	414	23964
17	432	23622
18	450	23276
19	470	23044
20	488	22792
21	507	22542
22	524	22295
23	542	22075
24	561	21892
25	580	21739
26	600	21649
27	620	21542
28	641	21472
29	660	21342
30	678	21222
31	699	21158
32	718	21047
33	736	20929
34	755	20835
35	774	20751
36	795	20704
37	815	20647
38	835	20579
39	852	20471
40	871	20391
41	890	20313
42	912	20314
43	930	20208
44	949	20148
45	967	20068
46	985	19975
47	1002	19879
48	1021	19823
49	1040	19770
50	1059	19714
51	1080	19700
52	1099	19649
53	1118	19597
54	1136	19519
55	1155	19470
56	1176	19457
57	1197	19441
58	1227	19581
59	1253	19635
60	1277	19671
61	1305	19745
62	1326	19722
63	1346	19693
64	1367	19667
65	1387	19632
66	1406	19586
67	1425	19537
68	1446	19516
69	1467	19497
70	1490	19504
71	1511	19487
72	1535	19496
73	1557	19492
74	1590	19616
75	1616	19658
76	1649	19769
77	1681	19877
78	1712	19967
79	1742	20042
80	1769	20070
81	1793	20083
82	1821	20124
83	1847	20144
84	1876	20200
85	1902	20217
86	1924	20195
87	1949	20208
88	1978	20249
89	2003	20261
90	2033	20309
91	2063	20361
92	2093	20413
93	2121	20446
94	2144	20429
95	2175	20489
96	2206	20537
97	2234	20570
98	2259	20559
99	2287	20591
100	2312	20584
101	2343	20635
102	2371	20650
103	2398	20663
104	2426	20683
105	2454	20700
106	2481	20711
107	2508	20719
108	2534	20721
109	2560	20719
110	2589	20742
111	2617	20753
112	2644	20759
113	2673	20777
114	2701	20790
115	2734	20835
116	2768	20891
117	2796	20905
118	2828	20939
119	2863	21001
120	2899	21063
121	2930	21091
122	2963	21130
123	2994	21158
124	3024	21169
125	3055	21197
126	3089	21234
127	3116	21233
128	3147	21251
129	3178	21270
130	3219	21355
131	3257	21420
132	3287	21430
133	3316	21434
134	3346	21439
135	3372	21424
136	3400	21421
137	3430	21425
138	3457	21414
139	3487	21423
140	3515	21418
141	3541	21397
142	3566	21374
143	3593	21360
144	3619	21343
145	3647	21333
146	3675	21327
147	3703	21320
148	3731	21314
149	3759	21301
150	3788	21301
151	3819	21306
152	3849	21312
153	3879	21314
154	3907	21300
155	3931	21273
156	3957	21251
157	3983	21225
158	4007	21195
159	4031	21164
160	4055	21135
161	4085	21133
162	4109	21100
163	4130	21055
164	4156	21036
165	4182	21011
166	4209	20995
167	4238	20988
168	4265	20972
169	4291	20950
170	4315	20923
171	4341	20899
172	4366	20874
173	4392	20849
174	4413	20807
175	4441	20792
176	4468	20775
177	4496	20762
178	4520	20733
179	4547	20716
180	4569	20677
181	4595	20654
182	4623	20639
183	4649	20617
184	4677	20604
185	4702	20580
186	4728	20558
187	4753	20530
188	4779	20510
189	4806	20492
190	4831	20465
